project_url,sentimen_score
869,0
870,0
871,2.735294118
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,3
882,2
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,2.076923077
892,0
893,0
894,0
895,1.888888889
896,0
897,3
898,2
899,2
900,0
901,0
902,2.5
903,2
904,0
905,2.2
906,1.8
907,2.4
908,0
909,0
910,3
911,0
912,0
913,0
914,0
915,2.5
916,0
917,3
918,0
919,2
920,0
921,0
922,0
923,3
924,0
925,0
926,2.8
927,0
928,0
929,2.428571429
930,0
931,0
932,2.75
933,0
934,0
935,0
936,0
937,3
938,3
939,0
940,0
941,2
942,1.666666667
943,0
944,0
945,0
946,1.88
947,0
948,0
949,0
950,0
951,0
952,0
953,1.955555556
954,0
955,1
956,0
957,1
958,2.75
959,0
960,0
961,3.5
962,2.5
963,0
964,0
965,0
966,0
967,0
968,3
969,3
970,4
971,1.5
972,2
973,0
974,2.75
975,2.923076923
976,0
977,2.333333333
978,0
979,0
980,3
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,2
991,0
992,0
993,2.4
994,0
995,2.5
996,2.666666667
997,0
998,0
999,2.666666667
1000,0
1001,0
1002,2.5
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,2.7
1011,0
1012,3
1013,0
1014,2.5
1015,0
1016,3
1017,0
1018,0
1019,2
1020,0
1021,0
1022,2.4375
1023,4
1024,0
1025,3.5
1026,0
1027,2.4
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,2.02
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,2.2
1047,0
1048,0
1049,0
1050,3
1051,2.242424242
1052,0
1053,0
1054,0
1055,3
1056,2.833333333
1057,0
1058,3
1059,0
1060,0
1061,3
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,2.5
1088,2.428571429
1089,0
1090,0
1091,3
1092,0
1093,0
1094,2.428571429
1095,0
1096,0
1097,2.333333333
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,2
1105,0
1106,0
1107,0
1108,2.4
1109,4
1110,0
1111,0
1112,0
1113,0
1114,3
1115,0
1116,2.5
1117,0
1118,3
1119,0
1120,3
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,2.5
1128,3
1129,0
1130,3
1131,0
1132,0
1133,3
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,3
1148,0
1149,0
1150,0
1151,0
1152,0
1153,2.352941176
1154,0
1155,2.666666667
1156,0
1157,2.428571429
1158,1.75
1159,3
1160,0
1161,2.78125
1162,3
1163,0
1164,2.051282051
1165,0
1166,0
1167,2
1168,0
1169,2.5
1170,3
1171,0
1172,0
1173,0
1174,0
1175,2.85
1176,0
1177,2
1178,0
1179,0
1180,2
1181,0
1182,1.666666667
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,2
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,3
1198,1.80952381
1199,0
1200,2.5
1201,0
1202,0
1203,0
1204,3
1205,0
1206,0
1207,0
1208,0
1209,2.142857143
1210,0
1211,0
1212,0
1213,0
1214,1
1215,2
1216,3
1217,0
1218,0
1219,0
1220,0
1221,1.5
1222,2
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,2.6
1234,3
1235,2
1236,0
1237,0
1238,0
1239,2.125
1240,0
1241,0
1242,0
1243,0
1244,0
1245,2.333333333
1246,1.5
1247,0
1248,0
1249,0
1250,0
1251,0
1252,3
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,2.6
1261,0
1262,0
1263,0
1264,0
1265,2.75
1266,3
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,2.2
1274,0
1275,3
1276,0
1277,0
1278,0
1279,2.666666667
1280,2.666666667
1281,0
1282,0
1283,0
1284,0
1285,2.888888889
1286,2.666666667
1287,0
1288,3
1289,0
1290,1.666666667
1291,0
1292,0
1293,0
1294,0
1295,0
1296,2.2
1297,0
