,name,pledged,slug,source_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,friends,is_backing,is_starred,permissions,country,town,location_type,project_url,reward_url
3392,Tree of Knowledge Poster,11836.0,tree-of-knowledge-poster,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,AZ,1386280052,1.0,11836.0,domestic,,,,,US,Tucson,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3393,US Cities Poster Series,820.0,us-cities-poster-series,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TN,1386433890,1.0,820.0,domestic,,,,,US,Nashville,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3394,Mohrbacher: The Gathering,12138.0,mohrbacher-the-gathering,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,CA,1386967892,1.0,12138.0,domestic,,,,,US,Alameda,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3395,Put Faces in Chaos on Your Wall,2401.0,put-faces-in-chaos-on-your-wall,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TX,1388957909,1.0,2401.0,domestic,,,,,US,Georgetown,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3396,Artful Healing,1035.0,artful-healing,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CA,1370228326,1.0,1035.0,domestic,,,,,US,San Luis Obispo,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3397,A Walk Along the Shore • Loving the Great Lakes,5296.0,a-walk-along-the-shore-loving-the-great-lakes,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,MI,1370999068,1.0,5296.0,domestic,,,,,US,Petoskey,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3398,The Art Of Healing Exhibition,4500.0,the-art-of-healing-exhibition,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,SC,1372445346,1.0,4500.0,domestic,,,,,US,Columbia,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3399,Periodic Table of the Presidents Poster,4271.0,periodic-table-of-the-presidents-poster,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,OR,1372620948,1.0,4271.0,domestic,,,,,US,Portland,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3400,The Four Man Stack,480.0,the-four-man-stack,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,UT,1372898789,1.0,480.0,domestic,,,,,US,Logan,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3401,Question Bridge Interactive,77676.0,question-bridge-interactive,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,NY,1373464708,1.0,77676.0,domestic,,,,,US,New York,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3402,Coney Island Scan-A-Rama,16041.0,coney-island-scan-a-rama,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,NY,1375967648,1.0,16041.0,domestic,,,,,US,Coney Island,Suburb,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3403,Portraying Traditional and Contemporary Japan Through Art,3826.0,portraying-traditional-and-contemporary-japan-thro,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,OH,1376160912,1.0,3826.0,domestic,,,,,US,North Ridgeville,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3404,Fantasy Femme and Goddess Oracle Card Deck,4601.0,fantasy-femme-and-goddess-oracle-card-deck,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,MT,1376287142,1.0,4601.0,domestic,,,,,US,Helena,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3405,Put a Silver Spider on your Wall,7457.0,put-a-silver-spider-on-your-wall,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,TX,1379605517,1.0,7457.0,domestic,,,,,US,Georgetown,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3406,2014 Day of the Dead Calendar,4893.99,2014-day-of-the-dead-calendar,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,TX,1379062857,1.0,4893.99,domestic,,,,,US,Lago Vista,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3407,Leaders in Software and Art: LISA2013 Conference,17196.0,leaders-in-software-and-art-lisa2013-conference,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,NY,1380907707,1.0,17196.0,domestic,,,,,US,New York,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3408,Put a Wildfire on Your Wall,14651.0,put-a-wildfire-on-your-wall,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,TX,1368203655,1.0,14651.0,domestic,,,,,US,Georgetown,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3409,The White Out Photoshoot,702.0,the-white-out-photoshoot,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,WA,1366209240,1.0,702.0,domestic,,,,,US,Edmonds,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3410,Modern Moral Subjects,267.0,modern-moral-subjects,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,England,1367262271,1.52041307,405.95028969,domestic,,,,,GB,Norwich,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3411,Blackprints: Car Designs Reimagined,71334.0,blackprints-car-designs-reimagined,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CA,1371880342,1.0,71334.0,domestic,,,,,US,San Francisco,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3412,Mapping 1938 Vienna,4620.0,mapping-1938-vienna,https://www.kickstarter.com/discover/categories/art/digital%20art,True,True,MA,1367641026,1.0,4620.0,domestic,,,,,US,Boston,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3413,Digitize the Mulligan Funeral Home Records!,3321.0,digitize-the-mulligan-funeral-home-records,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,PA,1368033666,1.0,3321.0,domestic,,,,,US,Philadelphia,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3414,Post-Contraceptives,2670.0,post-contraceptives,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,CO,1368338341,1.0,2670.0,domestic,,,,,US,Denver,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3415,URBAN HABITATS,370.0,urban-habitats,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,England,1368307761,1.53351889,567.4019893,domestic,,,,,GB,Leicester,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3416,Art Cards Inspired by Florida's Birds and Plant Life,605.0,art-cards-inspired-by-floridas-birds-and-plant-lif,https://www.kickstarter.com/discover/categories/art/digital%20art,True,False,FL,1368366051,1.0,605.0,domestic,,,,,US,West Palm Beach,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
